token_address,n_syncs,WETH,prices,liquidity,num_transactions,n_unique_addresses,tx_curve,mints,burns,difference_token_pool,label,fraud_type
0x355376d6471e09a4ffca8790f50da625630c5270,8.0,1.93599582290061,9.262505760363092e-05,40465.074173856,21,16,1.0,2,0,2373414,1,none
0x81611acd4460fd996aa657835af044644fa8ae29,1298.0,111.89532601925303,443550318779940.06,2.8228057685529e-11,1325,314,1.0,18,12,3840,1,none
0x0ff6ffcfda92c53f615a4a75d982f399c989366b,4467.0,781.7072311488624,0.0005108293498085345,1196223739.8055859,4920,1952,1.0,17,1,19736,1,none
0x0cc0d75340c0658ec370859252f40ed92620a807,693.0,568.5591169501091,0.0032709874363056023,98826264.4726607,1167,638,0.08125480567157471,2,0,14973,1,none
0x0763fdccf1ae541a5961815c0872a8c5bc6de4d7,4237.0,2924.1832271266876,0.0011227764293324659,7615806070.040907,4844,1674,1.0,72,13,1830237,1,none
0xb49009a69f3f96a2c49d23fc89f82368d5a84fb7,608.0,0.15792801150169425,3.235039933721776e-10,77097214.64917254,610,229,457723.677511088,1,0,92,1,none
0x2d7ef5876d4173922d5a7fcc6978c24d815dae3b,318.0,6e-18,3.075882009166128e-05,1.170396e-30,324,142,0.25863058224925506,2,2,1140,0,liquidity_stealing
0x35baf3cb842394c52accbef27ec83f43495aa333,99.0,1.8485962279217434,0.5653124099545739,6.044990263279553,136,11,0.25843368404842837,17,8,9742,1,none
0x464ebe77c293e473b48cfe96ddcf88fcf7bfdac0,20.0,1.9431886151025588,0.0005695580578817209,6629.670042607582,2075,1432,1.0,1,0,5066296,1,none
0x8fcfad991abb23589418cc552039a98ca6c544bb,34.0,2.3288680859369477,3146043.3865544233,1.7239516101002122e-06,40,15,0.4997293648339386,3,0,447,0,liquidity_stealing
0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,2.0,0.17783705679671002,7.90386919096489e-05,400.13337779259757,20257,6095,1.0,1,0,5612530,1,none
0xe6710e0cda178f3d921f456902707b0d4c4a332b,2.0,6.566903169219503,6.849954652693618e-05,629554.7842341899,39,33,1.0,1,0,1459772,1,none
0x87654bf470056d7f13b2be176b6c76ea7d97e10d,7.0,0.36408327165589593,0.004395782674944578,30.155409969473116,7,6,1.0,1,0,829,0,liquidity_stealing
0xc21005f0aaa8b7fcc6a4b584c764ddff14f1f953,22.0,2.5e-17,0.0006106646474022326,1.023475e-30,24,10,0.9992003199999999,1,1,18,0,liquidity_stealing
0xc2da941640e5e512d6645ee2d93157ed95b65f4a,8.0,6e-18,3.4832686993474676e-05,1.0335119999999998e-30,10,7,0.9890450309366836,1,1,21,0,liquidity_stealing
0x4083ea47cbbcc2c39ed9803ea5bba88b15f9d23f,6.0,7.2e-17,0.0007917830514439044,6.547248e-30,7,5,0.9836520239646422,1,1,35,0,liquidity_stealing
0x18ed2be11535f3179bd4f7e9a5a1438ef462270b,2.0,1.1,1.3608923589235894e-05,88912.24879512595,3,3,0.8351166874820135,1,0,5920,1,none
0x59e62a33d6f53b17046c9367bef22240ce3a2079,15.0,4.1e-17,0.0016559634880245568,1.015119e-30,17,17,0.6486505407147718,1,1,36,0,liquidity_stealing
0x8058c8e620664a065636604833c0f9250e671571,11.0,1.9e-17,0.0003481957959939158,1.036773e-30,13,13,0.8061772119850878,1,1,16,0,liquidity_stealing
0xfd8962a90358cf9539070cb29f3f2f5a88b55f7d,14.0,0.04659755550584381,1.4358856819082485e-08,151219.01461086792,14,9,1.0,1,0,102577,0,liquidity_stealing
0xa9a7a4100ecb52a6bb19d3969aa78a19c1852778,10.0,1.1e-17,0.00011297346150686058,1.071048e-30,12,9,0.9895184140151979,1,1,122,0,liquidity_stealing
0xd858aedf64347262cb808ee31a961902c16fd0bf,9.0,2.1702583463e-08,21702583463.0,2.1702583463e-26,11,10,0.748531585,1,1,75,1,none
0xcc9699f32ae32f558313c600a786b90e32274381,10.0,3.3e-17,0.001057285659361784,1.029996e-30,12,11,0.9741822531733613,1,1,21,0,liquidity_stealing
0x0ebb795b43ec202b6f9184c6a9e77130420b1822,11.0,3.7e-17,0.0013353544102786199,1.025196e-30,14,5,1.0,4,2,30,0,liquidity_stealing
0x95624b8b4307da5aa576036b5cdd001c2b57a3f8,11.0,2e-18,2.932959869776582e-06,1.36381e-30,13,10,0.9752518398130553,1,1,20,0,liquidity_stealing
0xc0b6f8d75e3c3c1928637ed7fbc628388292256f,7.0,6e-18,3.432867416938912e-05,1.048686e-30,8,6,1.0,1,1,244,0,liquidity_stealing
0xa691dbf4262a1965023cf75f272dfadb09b9a532,17.0,2.92e-16,0.08483439860546195,1.0050640000000001e-30,83,81,0.999330916376027,1,1,4,0,liquidity_stealing
0x04ed15fa8c47778589c1bf3451e0de25c1eed3ae,14.0,0.15,1.4999999999999997e+17,1.5e-19,17,11,1.0,1,1,6168745,0,liquidity_stealing
0x76761e2d2cdceddf2598842a09026e78d0eb51cc,7.0,1.8511e-14,0.0003365636363636364,1.018105e-24,10,8,0.9784762609068389,1,1,2653,0,liquidity_stealing
0xf4b7337bc15d98597e8c74cf71634fa7895507da,6.0,4e-18,1.5745489901236415e-05,1.0161640000000002e-30,7,6,0.9278014777898,1,1,37,0,liquidity_stealing
0x16f0c132070e3e23e153207d259a67ca6be55818,22.0,1.3365284465146086,0.00035508145319573234,5030.700061256317,23,15,0.6492691820486454,1,0,102,0,liquidity_stealing
0x708289b33f06b72c822164ac99e074c03f0f4145,14.0,1.39e-16,0.01922544951590595,1.0049699999999998e-30,17,15,0.6364991489554935,1,1,14,0,liquidity_stealing
0x4f9c68bc906f3c9dd059e4bcc55c0b5528d7407b,6.0,1e-18,3.2200778292811344e-07,3.105515e-30,15,8,0.9948226385353466,1,1,12,0,liquidity_stealing
0x414fbd0709a1f8ae453feb5cc081cfc67f125f43,8.0,1.6e-17,0.00024009603841536618,1.06624e-30,19,9,0.9962973559249266,1,1,12,0,liquidity_stealing
0x53b9c60b55bc1f5b3cb399cc44f704c47f2c5fc1,6.0,1.04e-16,0.010710607621009269,1.00984e-30,8,4,1.0,1,1,47008,0,liquidity_stealing
0xec49e0b4a08406d903635ba55c6e9c09adfa0b5f,11.0,90.26652841708218,0.003422692689031047,2380595.3069010675,12,12,0.777838872987676,1,0,34,0,liquidity_stealing
0x3076942ad5d708f4b09b95fedb8758ce0465f53f,6.0,1.3e-17,0.00015605867806295167,1.082926e-30,17,15,0.3910559194274189,1,1,52,0,liquidity_stealing
0x3d1f420949cd21ad41daa9a2893248bca79e1123,9.0,4.2e-17,0.0017628541448058762,1.00065e-30,11,10,0.89107867690376,1,1,49,0,liquidity_stealing
0xe2f37a8209ecc5017c3c55bcc8cc2d3d07929479,9.0,7.8e-17,0.006073347348750292,1.0017539999999999e-30,12,11,1.0,1,1,12,0,liquidity_stealing
0xa707b8feee54432a1a7ab9743e69941585b08215,20.0,2e-17,0.0003927267014884342,1.01852e-30,25,14,0.3884596688306987,1,1,47,0,liquidity_stealing
0x63eebc3163f35aa945d7fccf9eacf3af938b4215,9.0,1.42e-16,0.02009054895302773,1.003656e-30,11,8,0.999803591890774,1,1,22,0,liquidity_stealing
0x84953053240972668ff24b7e8720b180f84d202c,7.0,2.5e-17,0.0006009182030142057,1.0400749999999998e-30,9,6,1.0,1,1,24,0,liquidity_stealing
0xc1872bc6b4022a4a4de9adcaf3eeb45a058ad0b7,19.0,3.9e-17,0.0015179822512844466,1.001988e-30,21,17,0.7370247049339116,1,1,6,0,liquidity_stealing
0x9dd350e30fc1ebb40bdaf9aef061269869602fb1,18.0,1e-18,8.23871172912434e-07,1.213782e-30,21,11,1.0,1,1,23039,0,liquidity_stealing
0x4a364a09cb3d9b316fde7158fb9d01139e5ec8fa,16.0,4.7e-17,0.002183406113537118,1.011722e-30,218,115,0.9909548943963141,1,1,6,0,liquidity_stealing
0xf90d01e8646b8caadcec6770aad3d6445541f53e,7.0,5e-18,2.2696529246747587e-05,1.1014900000000002e-30,9,8,0.9765565379640808,1,1,19,0,liquidity_stealing
0x02f61fd266da6e8b102d4121f5ce7b992640cf98,4.0,0.27861440238468665,3.5178586159682655e-05,2206.6260668867185,233,140,0.28933089130380313,1,1,5715110,0,liquidity_stealing
0xe34aebcb54afceec95e1fe538483bd1227a840a4,19.0,3.7e-17,0.0013370916449840994,1.0238639999999999e-30,22,17,0.8661885010844625,1,1,12,0,liquidity_stealing
0x793e2602a8396468f3ce6e34c1b6c6fd6d985bad,7.0,1.1588272077989197,1.338314339699909,1.003411872457524,180,94,38.12003816814346,1,0,1221385,0,liquidity_stealing
0x4225767ae341c2bc7ba90f70ba50e6eb4107c6af,13.0,1.2e-17,0.0001385905342665096,1.0390319999999999e-30,31,14,0.992232585760505,1,1,16,0,liquidity_stealing
0x54bbbcf29f465477153f772f0c296bebbf0a8b81,13.0,1.01e-16,0.010150753768844221,1.0049499999999999e-30,16,9,0.9979774497592837,1,2,71,0,liquidity_stealing
0x56a16ab373586e4a5dea5776dd4576e78bf8fbef,19.0,2e-18,6.457439179801906e-07,6.194406e-30,22,12,0.673418398918024,4,2,20,0,liquidity_stealing
0x8aa45208ddb85a5978587fc1708f9bf6fd168527,6.0,4e-18,1.3710368466152528e-05,1.167e-30,8,6,0.9858048718924552,1,1,10,0,liquidity_stealing
0xc8502b6a213ae9b1e8355cc08971d60428af279d,12.0,0.532724099610466,5.665235093417139e-09,50094119.94844562,13,8,0.9774004437699939,1,0,178,1,none
0x61d94835be8edcdea3e30412f99f21d243039d2b,6.0,0.16154761889527416,5.1842719053272995e-05,503.4001620153277,7,7,0.8143637157260757,1,0,35299,0,liquidity_stealing
0x26556aec69999ab8111874b401dc89b572fe14d0,6.0,5e-18,2.0976409929393402e-05,1.1918150000000001e-30,8,7,0.9994245399907363,1,1,19,0,liquidity_stealing
0x682aa82a623db7b5eee4e0363d1d5b2579fcba66,7.0,2.3e-17,0.0005142882697553778,1.028606e-30,9,6,1.0,1,1,41,0,liquidity_stealing
0xc475dbea2fe4311e50a6140807c3b1d22b8305a5,7.0,1.3e-17,0.00015993700942398072,1.056666e-30,9,8,0.9870256237934742,1,1,25,0,liquidity_stealing
0x754006c2325ab943d782e36dea661ee06e0bd015,63.0,0.5075412866682066,1.2807792384494338e-05,20112.611911532706,129,40,0.6540438215950751,1,0,25,1,none
0x1378bfd46a7ffbcae16c7af06a6af34281d0ba7a,6.0,0.6916029984336795,4.269154311319009e-06,112039.68574625607,8,7,0.9568867127999998,2,0,6738,1,none
0xd675cd70cfff24aa6a3586600d9e5fc59f17117e,68.0,0.001548632877981225,2.384353502435621e-14,100583398.74161197,72,46,0.506407559018979,1,0,1561,1,none
0x3c942ebc872ed6b598b8d2ea88a1d757d00088b2,37.0,5.86e-16,0.3418903150525087,1.0044039999999999e-30,77,32,0.7230850528593863,1,1,12,0,liquidity_stealing
0xb567d00228133fb7fad263fddff5aa52963ca7fb,30.0,0.004336249428634349,3.737791500596502e-12,5030526.476485112,33,21,0.9980017361324856,2,1,4031,1,none
0xdc35891e63e0fd2507f517f4ab0ebde403f76daf,33.0,6e-18,3.435343963814377e-05,1.04793e-30,38,29,0.7344726205551989,1,1,19,0,liquidity_stealing
0x7ebbd485bf0e27433d6a98714de4a469f5b6daa5,78.0,5e-18,2.0664316445076317e-05,1.209815e-30,100,81,0.10673242111806755,1,2,3268,0,liquidity_stealing
0x8d5b5d6c218223a93f4ad113593d199045a0e8ad,41.0,3.829e-15,14.55893536121673,1.0070269999999999e-30,201,121,0.03512467531663827,1,1,3,0,liquidity_stealing
0xb455706f9a15ad2f2c07df98bfabd2522a07438b,36.0,15.427253957039671,0.13230571674760247,1798.865313650999,44,27,0.9754455983992618,1,1,31547,0,liquidity_stealing
0xb48cd9823fe43e19cee867c9b331376122556762,34.0,2.49e-16,0.061755952380952384,1.003968e-30,36,22,0.9229166863228635,1,1,69,0,liquidity_stealing
0x05074b439211739bd952e1092127f17afd0de204,23.0,30.43897773998884,0.03313570504554019,27961.721791709395,100,44,0.14224047831012362,1,0,1417,0,liquidity_stealing
0x00fc270c9cc13e878ab5363d00354bebf6f05c15,10.0,0.6485136984019497,0.0008408827095508865,500.1530085445572,56,23,1.0,1,0,2774961,0,dumping
0xf75b25f6f9a779ed51220ac94e35cddc41e83eb0,32.0,0.7144847085183318,0.00045242525716887995,1128.3375333662505,34,23,0.9077287360085058,2,1,21,0,liquidity_stealing
0x5dd3fccb1834f100451cdee6ee303629666e2299,41.0,3.5e-16,0.12203626220362622,1.0038000000000002e-30,89,58,0.9237482379495483,1,1,16,0,liquidity_stealing
0xf37e0ca79a2924932f8c48cfbe40fa9616a9cc41,5.0,0.5023989506051793,0.10047979012103585,2.5119947530258964,17,14,0.09996008000000009,1,0,10957,1,none
0xe8a4aa7ca96fb2e0b44ddfb207738f2e5b8d3aa9,4.0,1.1030044999796893,0.0024252892696893786,501.6386878795964,16,15,1.0,1,0,72464,1,none
0xdb7c24b2673dc37214329324c312c173c63e5e24,35.0,4.436573604694047,4.8819875405794235,4.031797538658161,36,16,0.4573441802286601,1,0,110,1,none
0x3f09400313e83d53366147e3ea0e4e2279d80850,1398.0,118.72347673703467,0.0032547138542091533,4330722.932924053,1875,532,0.5033006280907466,11,5,170,1,none
0x5d762f76b9e91f71cc4f94391bdfe6333db8519c,2576.0,132.02022310776152,0.1084652680003699,160690.51071135222,4461,1165,0.10766942360545828,9,3,73732,1,none
0x2874d3a3d94093e7d5402a9d37fb81838cd72758,95.0,2.861187011849453,0.0001675722202938681,48852.91310468817,301,56,0.10515272601681437,3,2,117103,1,none
0xf784097f3a428878d2b512818b34f580b93776db,794.0,49.75440482339777,0.025801708829421326,95943.28870604758,805,355,1.0,3,0,176,1,none
0x39795344cbcc76cc3fb94b9d1b15c23c2070c66d,20.0,1.7278785195003632,806005.7232766021,3.7041476157436562e-06,252,208,0.27157883221699297,1,0,257,1,none
